"","Species","GrowthHabit","GrowthHabitSub","Duration"
"1244","CAMA","Non-Woody","Forb/Herb","Annual"
"1245","ERDI3",NA,NA,NA
"1246","SOTR","Non-Woody","Forb/Herb","Annual"
"1247","LUSE4",NA,NA,NA
"1248","COUM",NA,NA,NA
"1249","CRATO",NA,NA,NA
"1250","DOCO",NA,NA,NA
"1251","ANTENPF",NA,NA,NA
"1252","ARCO9",NA,NA,NA
"1253","CIVU",NA,NA,NA
"1254","PAMY","Woody","Shrub","Perennial"
"1255","HIAL2",NA,NA,NA
"1256","MARA7",NA,NA,NA
"1257","FESTU",NA,NA,NA
"1258","GATR3",NA,NA,NA
"1259","PF075","Non-woody","Forb","Perennial"
"1260","HECY2",NA,NA,NA
"1261","AF137","Non-woody","Forb","Annual"
"1262","AF136","Non-woody","Forb","Annual"
"1263","PF071","Non-woody","Forb","Perennial"
"1264","ARUV","Woody","Subshrub","Perennial"
"1265","ANMA",NA,NA,NA
"1266","SIME",NA,NA,NA
"1267","PF064","Non-woody","Forb","Perennial"
"1268","SH122","Woody","Shrub","Perennial"
"1269","APAN2",NA,NA,NA
"1270","PF066","Non-woody","Forb","Perennial"
"1271","SOAR2",NA,NA,NA
"1272","CLAYT",NA,NA,NA
"1273","SADO4",NA,NA,NA
"1274","CATH4",NA,NA,NA
"1275","ORLU2",NA,NA,NA
"1276","PHSP",NA,NA,NA
"1277","ANPA4",NA,NA,NA
"1278","ORLU",NA,NA,NA
"1279","ACOCC","Non-Woody","Graminoid","Perennial"
"1280","PG212","Non-woody","Graminoid","Perennial"
"1281","RAGL",NA,NA,NA
"1282","CHDOD",NA,NA,NA
"1283","ARFR",NA,NA,NA
"1284","PF268","Non-woody","Forb","Perennial"
"1285","PF269","Non-woody","Forb","Perennial"
"1286","STEPHAF",NA,NA,NA
"1287","ASMI9",NA,NA,NA
"1288","STME","Non-Woody","Forb/Herb","Perennial"
"1289","DODE",NA,NA,NA
"1290","ERODIAF",NA,NA,NA
"1291","PF263","Non-woody","Forb","Perennial"
"1292","AMLY",NA,NA,NA
"1293","CEDI3",NA,NA,NA
"1294","AF130","Non-woody","Forb","Annual"
"1295","PF179","Non-woody","Forb","Perennial"
"1296","OEPA",NA,NA,NA
"1297","CIIN",NA,NA,NA
"1298","LECO3",NA,NA,NA
"1299","TRRE3",NA,NA,NA
"1300","AF228","Non-woody","Forb","Annual"
"1301","GAAR",NA,NA,NA
"1302","LODE",NA,NA,NA
"1303","PEGA3",NA,NA,NA
"1304","PF261","Non-woody","Forb","Perennial"
"1305","TRMI4",NA,NA,NA
"1306","ZIVE",NA,NA,NA
"1307","IRPS",NA,NA,NA
"1308","PF163","Non-woody","Forb","Perennial"
"1309","RUCR",NA,NA,NA
"1310","NAIN2",NA,NA,NA
"1311","JUEF","Non-Woody","Graminoid","Perennial"
"1312","AF120","Non-woody","Forb","Annual"
"1313","ACNED","Non-Woody","Graminoid","Perennial"
"1314","AF229","Non-woody","Forb","Annual"
"1315","COLI2",NA,NA,NA
"1316","ORTE2",NA,NA,NA
"1317","PG218","Non-woody","Graminoid","Perennial"
"1318","ACAM",NA,NA,NA
"1319","POPOP3",NA,NA,NA
"1320","AF265","Non-woody","Forb","Annual"
"1321","EPCI",NA,NA,NA
"1322","GEVI2",NA,NA,NA
"1323","GRSQ",NA,NA,NA
"1324","HEUN",NA,NA,NA
"1325","IRMI",NA,NA,NA
"1326","MELU",NA,NA,NA
"1327","ASSP",NA,NA,NA
"1328","ARNE","Woody","Subshrub","Perennial"
"1329","GEBI2",NA,NA,NA
"1330","POGR9",NA,NA,NA
"1331","PODOM2",NA,NA,NA
"1332","LOTUSAF",NA,NA,NA
"1333","VIAM",NA,NA,NA
"1334","AF261","Non-woody","Forb","Annual"
"1335","PF283","Non-woody","Forb","Perennial"
"1336","CIRSIPF",NA,NA,NA
"1337","MESA",NA,NA,NA
"1338","HEAN3",NA,NA,NA
"1339","MEOF",NA,NA,NA
"1340","MICRO6",NA,NA,NA
"1341","PECO6",NA,NA,NA
"1342","PG231","Non-woody","Graminoid","Perennial"
"1343","SOSI2","Woody","Tree","Perennial"
"1344","AF269","Non-woody","Forb","Annual"
"1345","PF313","Non-woody","Forb","Perennial"
"1346","PG175","Non-woody","Graminoid","Perennial"
"1347","AF268","Non-woody","Forb","Annual"
"1348","PG233","Non-woody","Graminoid","Perennial"
"1349","ASAG2",NA,NA,NA
"1350","LELA2",NA,NA,NA
"1351","LYJU",NA,NA,NA
"1352","PF309","Non-woody","Forb","Perennial"
"1353","AG218","Non-woody","Graminoid","Annual"
"1354","CHHI",NA,NA,NA
"1355","PG236","Non-woody","Graminoid","Perennial"
"1356","ELLAL","Non-Woody","Graminoid","Perennial"
"1357","ARTR4",NA,NA,NA
"1358","BRTE",NA,NA,NA
"1359","POBU",NA,NA,NA
"1360","POSE",NA,NA,NA
"1361","PSSP6",NA,NA,NA
"1362","AGCR",NA,NA,NA
"1363","ELEL5",NA,NA,NA
"1364","ERCI6",NA,NA,NA
"1365","EREL5",NA,NA,NA
"1366","PF187","Non-woody","Forb","Perennial"
"1367","PYCA3",NA,NA,NA
"1368","BACA3",NA,NA,NA
"1369","AF125","Non-woody","Forb","Annual"
"1370","AF126","Non-woody","Forb","Annual"
"1371","PF094","Non-woody","Forb","Perennial"
"1372","ARSE2",NA,NA,NA
"1373","LUSE2",NA,NA,NA
"1374","PF341","Non-woody","Forb","Perennial"
"1375","PF197","Non-woody","Forb","Perennial"
"1376","PERI",NA,NA,NA
"1377","SOMIF",NA,NA,NA
"1378","PRUNU",NA,NA,NA
"1379","VEBR",NA,NA,NA
"1380","CIUN",NA,NA,NA
"1381","CAEL7",NA,NA,NA
"1382","LUAL3",NA,NA,NA
"1383","LUBI",NA,NA,NA
"1384","THCU",NA,NA,NA
"1385","CAEL",NA,NA,NA
"1386","LUARL5",NA,NA,NA
"1387","NEBR",NA,NA,NA
"1388","FERU2","Non-Woody","Graminoid","Perennial"
"1389","SIPA4",NA,NA,NA
"1390","CAMIM5",NA,NA,NA
"1391","LIGL2",NA,NA,NA
"1392","HICY",NA,NA,NA
"1393","LOAM",NA,NA,NA
"1394","LUSES4",NA,NA,NA
"1395","AF102","Non-woody","Forb","Annual"
"1396","ACHY",NA,NA,NA
"1397","FERU2",NA,NA,NA
"1398","PIPO",NA,NA,NA
"1399","PUTR2",NA,NA,NA
"1400","RICE",NA,NA,NA
"1401","ERBL2",NA,NA,NA
"1402","CLPA5",NA,NA,NA
"1403","AGRE",NA,NA,NA
"1404","COTE",NA,NA,NA
"1405","CLRH",NA,NA,NA
"1406","HACI4",NA,NA,NA
"1407","OPPO",NA,NA,NA
"1408","AF217","Non-woody","Forb","Annual"
"1409","PF241","Non-woody","Forb","Perennial"
"1410","PF133","Non-woody","Forb","Perennial"
"1411","GAMU2",NA,NA,NA
"1412","CEST8",NA,NA,NA
"1413","ANFL2",NA,NA,NA
"1414","ERDO",NA,NA,NA
"1415","LUBI3",NA,NA,NA
"1416","SELA",NA,NA,NA
"1417","ASPUG2",NA,NA,NA
"1418","AF222","Non-woody","Forb","Annual"
"1419","LOGR",NA,NA,NA
"1420","CAMIM6",NA,NA,NA
"1421","LOSI2",NA,NA,NA
"1422","BADE2",NA,NA,NA
"1423","ASPU7",NA,NA,NA
"1424","PF056","Non-woody","Forb","Perennial"
"1425","PF054","Non-woody","Forb","Perennial"
"1426","CIUM","Non-Woody","Forb/Herb","Annual"
"1427","SYAS3",NA,NA,NA
"1428","CATA2",NA,NA,NA
"1429","CRGR3",NA,NA,NA
"1430","LEOB",NA,NA,NA
"1431","LOFO",NA,NA,NA
"1432","ARHI",NA,NA,NA
"1433","ASTE4",NA,NA,NA
"1434","CRFL4",NA,NA,NA
"1435","TRCY",NA,NA,NA
"1436","MIGU",NA,NA,NA
"1437","ERAP",NA,NA,NA
"1438","SECR",NA,NA,NA
"1439","BAIN",NA,NA,NA
"1440","ARRY",NA,NA,NA
"1441","DENU3",NA,NA,NA
"1442","AGOSE",NA,NA,NA
"1443","LONE",NA,NA,NA
"1444","PHGY",NA,NA,NA
"1445","MEVE5",NA,NA,NA
"1446","CRHU2",NA,NA,NA
"1447","DEGL",NA,NA,NA
"1448","LIHE",NA,NA,NA
"1449","EROVP2",NA,NA,NA
"1450","MICU2",NA,NA,NA
"1451","ARAC2",NA,NA,NA
"1452","CRMO4",NA,NA,NA
"1453","SPCO",NA,NA,NA
"1454","MEDI",NA,NA,NA
"1455","ANTEN",NA,NA,NA
"1456","DELPHPH",NA,NA,NA
"1457","GISI",NA,NA,NA
"1458","DEOC",NA,NA,NA
"1459","GUSA2",NA,NA,NA
"1460","CAFL7",NA,NA,NA
"1461","STAC",NA,NA,NA
"1462","GAGL2",NA,NA,NA
"1463","PHHE9",NA,NA,NA
"1464","MITI",NA,NA,NA
"1465","MASA",NA,NA,NA
"1466","EPMI",NA,NA,NA
"1467","PHHE5","Non-Woody","Forb/Herb","Perennial"
"1468","GATR6",NA,NA,NA
"1469","SCAN3",NA,NA,NA
"1470","SIDAL",NA,NA,NA
"1471","ONAC",NA,NA,NA
"1472","ALDO",NA,NA,NA
"1473","MACAC3",NA,NA,NA
"1474","ERCO4",NA,NA,NA
"1475","CIBR",NA,NA,NA
"1476","DELPHAF",NA,NA,NA
"1477","FRITIAF",NA,NA,NA
"1478","AGST2","Non-Woody","Graminoid","Perennial"
"1479","LOCO",NA,NA,NA
"1480","CORA5",NA,NA,NA
"1481","ALLIUAF",NA,NA,NA
"1482","ARPA6","Woody","Shrub","Perennial"
"1483","SENECPF",NA,NA,NA
"1484","RITR","Woody","Shrub","Perennial"
"1485","AMAC2",NA,NA,NA
"1486","ERIGE2",NA,NA,NA
"1487","ERSP6",NA,NA,NA
"1488","ERLA5",NA,NA,NA
"1489","LUAL4",NA,NA,NA
"1490","GADIP",NA,NA,NA
"1491","ERCH4",NA,NA,NA
"1492","IDSC",NA,NA,NA
"1493","DEIN5",NA,NA,NA
"1494","CAAND",NA,NA,NA
"1495","ASCO11",NA,NA,NA
"1496","ASCR",NA,NA,NA
"1497","ASAT",NA,NA,NA
"1498","LOBIL",NA,NA,NA
"1499","PF201","Non-woody","Forb","Perennial"
"1500","MYDI",NA,NA,NA
"1501","CLPE",NA,NA,NA
"1502","ALVI",NA,NA,NA
"1503","POMI",NA,NA,NA
"1504","PLMA",NA,NA,NA
"1505","ASPR","Non-Woody","Forb/Herb","Annual"
"1506","TRGRG2",NA,NA,NA
"1507","PLTE",NA,NA,NA
"1508","LOGO",NA,NA,NA
"1509","ANST2",NA,NA,NA
"1510","CICA6",NA,NA,NA
"1511","LODI",NA,NA,NA
"1512","MECI3",NA,NA,NA
"1513","SEVU",NA,NA,NA
"1514","SH201","Woody","Shrub","Perennial"
"1515","ASNE6",NA,NA,NA
"1516","LELI14",NA,NA,NA
"1517","PECU",NA,NA,NA
"1518","LOCA4",NA,NA,NA
"1519","CRDO2","Woody","Tree","Perennial"
"1520","VISA",NA,NA,NA
"1521","CRSI2",NA,NA,NA
"1522","CRAM3",NA,NA,NA
"1523","LUAR3",NA,NA,NA
"1524","TRPR","Non-Woody","Forb/Herb","Annual"
"1525","LIUS",NA,NA,NA
"1526","CAPAI",NA,NA,NA
"1527","POAR7",NA,NA,NA
"1528","ELMU3","Non-Woody","Graminoid","Perennial"
"1529","PESE12",NA,NA,NA
"1530","ASVA3",NA,NA,NA
"1531","PF216","Non-woody","Forb","Perennial"
"1532","OPFR",NA,NA,NA
"1533","ERTE6",NA,NA,NA
"1534","AMTE3",NA,NA,NA
"1535","CAEU",NA,NA,NA
"1536","VITR3",NA,NA,NA
"1537","ERAU6",NA,NA,NA
"1538","LARA",NA,NA,NA
"1539","EROVO5",NA,NA,NA
"1540","BROB",NA,NA,NA
"1541","CRCR16",NA,NA,NA
"1542","SCAN4",NA,NA,NA
"1543","LESE17",NA,NA,NA
"1544","PEPE26",NA,NA,NA
"1545","POAV",NA,NA,NA
"1546","VIAD",NA,NA,NA
"1547","DEGL3",NA,NA,NA
"1548","SARA2","Woody","Tree","Perennial"
"1549","MACI2",NA,NA,NA
"1550","PORA3",NA,NA,NA
"1551","HAWHD2","Woody","Subshrub","Perennial"
"1552","SH200","Woody","Shrub","Perennial"
"1553","HILO",NA,NA,NA
"1554","CRCA23","Non-Woody","Forb/Herb","Perennial"
"1555","COCA7",NA,NA,NA
"1556","ARCU",NA,NA,NA
"1557","LOWA",NA,NA,NA
"1558","CRCE",NA,NA,NA
"1559","ERVI5",NA,NA,NA
"1560","ERSPS4",NA,NA,NA
"1561","CHHA","Non-Woody","Forb/Herb","Perennial"
"1562","ERSTP",NA,NA,NA
"1563","MILA",NA,NA,NA
"1564","LATE6","Non-Woody","Forb/Herb","Annual"
"1565","SYCH4",NA,NA,NA
"1566","FECA4","Non-Woody","Graminoid","Perennial"
"1567","PF303","Non-woody","Forb","Perennial"
"1568","CRRE5",NA,NA,NA
"1569","LOPA5",NA,NA,NA
"1570","ERCO12",NA,NA,NA
"1571","EUOC4","Non-Woody","Forb/Herb","Perennial"
"1572","ASFA",NA,NA,NA
"1573","AF306","Non-woody","Forb","Annual"
"1574","ARLE",NA,NA,NA
"1575","ARLO6",NA,NA,NA
"1576","SISC7",NA,NA,NA
"1577","POGL9",NA,NA,NA
"1578","CRFE3",NA,NA,NA
"1579","COTI2",NA,NA,NA
"1580","CRRU3",NA,NA,NA
"1581","CEIN3","Woody","Shrub","Perennial"
"1582","DOCOC3",NA,NA,NA
"1583","ERSTS3",NA,NA,NA
"1584","CHFR3",NA,NA,NA
"1585","PHRA2",NA,NA,NA
"1586","PF225","Non-woody","Forb","Perennial"
"1587","AGEL",NA,NA,NA
"1588","GRCO",NA,NA,NA
"1589","CAPE19",NA,NA,NA
"1590","ASKED2",NA,NA,NA
"1591","ASER4",NA,NA,NA
"1592","ERNA7",NA,NA,NA
"1593","ASSA4",NA,NA,NA
"1594","PF19","Non-woody","Forb","Perennial"
"1595","AF214","Non-woody","Forb","Annual"
"1596","CAVI9",NA,NA,NA
"1597","EREL4",NA,NA,NA
"1598","OLDOI",NA,NA,NA
"1599","WYAM",NA,NA,NA
"1600","ANUM",NA,NA,NA
"1601","ERGR9","Non-Woody","Forb/Herb","Perennial"
"1602","MIPE8",NA,NA,NA
"1603","ASCO7",NA,NA,NA
"1604","PEMI3",NA,NA,NA
"1605","AF300","Non-woody","Forb","Annual"
"1606","DOPU",NA,NA,NA
"1607","VIPR3",NA,NA,NA
"1608","ASLE6",NA,NA,NA
"1609","CAAT25",NA,NA,NA
"1610","ALAL3",NA,NA,NA
"1611","CAFLR",NA,NA,NA
"1612","POPA8",NA,NA,NA
"1613","AF410","Non-woody","Forb","Annual"
"1614","CAPA37",NA,NA,NA
"1615","PESE",NA,NA,NA
"1616","CAMI23",NA,NA,NA
"1617","LOCU",NA,NA,NA
"1618","ASTER",NA,NA,NA
"1619","ALLIU",NA,NA,NA
"1620","VEBL","Non-Woody","Forb/Herb","Annual"
"1621","ASTR10","Non-Woody","Forb/Herb","Perennial"
"1622","BALSA",NA,NA,NA
"1623","FRITI",NA,NA,NA
"1624","SEDUM",NA,NA,NA
"1625","ACRE3",NA,NA,NA
"1626","SPHAE",NA,NA,NA
"1627","MEAL2",NA,NA,NA
"1628","CERE6",NA,NA,NA
"1629","RIBES",NA,NA,NA
"1630","ARHOP2",NA,NA,NA
"1631","STLA7",NA,NA,NA
"1632","PHALA2PG",NA,NA,NA
"1633","PHLOL2",NA,NA,NA
"1634","ALAN",NA,NA,NA
"1635","AGGLL",NA,NA,NA
"1636","POPO4",NA,NA,NA
"1637","LONEN",NA,NA,NA
"1638","VIPUV2",NA,NA,NA
"1639","MISU2",NA,NA,NA
"1640","AF403","Non-woody","Forb","Annual"
"1641","LEMO4",NA,NA,NA
"1642","ALTOT",NA,NA,NA
"1643","CADU6","Non-Woody","Graminoid","Perennial"
"1644","FRALC2",NA,NA,NA
"1645","PEHUH",NA,NA,NA
"1646","ALPA3",NA,NA,NA
"1647","PF044","Non-woody","Forb","Perennial"
"1648","COTE3",NA,NA,NA
"1649","GIIN2",NA,NA,NA
"1650","AF421","Non-woody","Forb","Annual"
"1651","AF422","Non-woody","Forb","Annual"
"1652","PHLU",NA,NA,NA
"1653","CRCIC2",NA,NA,NA
"1654","PHDI3",NA,NA,NA
"1655","AMMEI2",NA,NA,NA
"1656","DENU",NA,NA,NA
"1657","LUUN",NA,NA,NA
"1658","ARCOC",NA,NA,NA
"1659","LUAR",NA,NA,NA
"1660","PF063","Non-woody","Forb","Perennial"
"1661","SOAS",NA,NA,NA
"1662","CACH15",NA,NA,NA
"1663","FERO",NA,NA,NA
"1664","EREA",NA,NA,NA
"1665","ACTH7",NA,NA,NA
"1666","AGGI",NA,NA,NA
"1667","ARAR8",NA,NA,NA
"1668","CHVI8",NA,NA,NA
"1669","LOTR",NA,NA,NA
"1670","PF1000",NA,NA,NA
"1671","POPOE",NA,NA,NA
"1672","ALSC",NA,NA,NA
"1673","ERPO16",NA,NA,NA
"1674","TRKI",NA,NA,NA
"1675","FEID",NA,NA,NA
"1676","JUOC",NA,NA,NA
"1677","PF1014",NA,NA,NA
"1678","PLLE",NA,NA,NA
"1679","BRHO2",NA,NA,NA
"1680","ARDI2",NA,NA,NA
"1681","DAUN",NA,NA,NA
"1682","PF1010",NA,NA,NA
"1683","ANAR5",NA,NA,NA
"1684","BRCA5",NA,NA,NA
"1685","AGHE3",NA,NA,NA
"1686","IOAL",NA,NA,NA
"1687","PHAD",NA,NA,NA
"1688","GRSP",NA,NA,NA
"1689","ARCO",NA,NA,NA
"1690","ARTRW8",NA,NA,NA
"1691","LECI4",NA,NA,NA
"1692","PF1012",NA,NA,NA
"1693","POFE",NA,NA,NA
"1694","PSSPS",NA,NA,NA
"1695","ERRE4",NA,NA,NA
"1696","ERAR3",NA,NA,NA
"1697","POFRF2","Non-Woody","Forb/Herb","Perennial"
"1698","PYLA",NA,NA,NA
"1699","TOFL5",NA,NA,NA
"1700","PF76","Non-woody","Forb","Perennial"
"1701","ASMA6",NA,NA,NA
"1702","ACMIO",NA,NA,NA
"1703","PF78","Non-woody","Forb","Perennial"
"1704","OECA10",NA,NA,NA
"1705","PF89","Non-woody","Forb","Perennial"
"1706","PF90","Non-woody","Forb","Perennial"
"1707","GIBRB",NA,NA,NA
"1708","LUAR7",NA,NA,NA
"1709","LEDE",NA,NA,NA
"1710","CHDE",NA,NA,NA
"1711","AF465","Non-woody","Forb","Annual"
"1712","LUSA2",NA,NA,NA
"1713","CRYPT",NA,NA,NA
"1714","AF470","Non-woody","Forb","Annual"
"1715","CHPR5",NA,NA,NA
"1716","PLCI",NA,NA,NA
"1717","ERIOGAF",NA,NA,NA
"1718","RUMA4",NA,NA,NA
"1719","AF439","Non-woody","Forb","Annual"
"1720","PF107","Non-woody","Forb","Perennial"
"1721","PF109","Non-woody","Forb","Perennial"
"1722","TRPR4",NA,NA,NA
"1723","CHGL13",NA,NA,NA
"1724","BRINP5","Non-Woody","Graminoid","Perennial"
"1725","PF94","Non-woody","Forb","Perennial"
"1726","PF110","Non-woody","Forb","Perennial"
"1727","LUAR6",NA,NA,NA
"1728","DEINI2",NA,NA,NA
"1729","PF143","Non-woody","Forb","Perennial"
"1730","CAMU5","Non-Woody","Graminoid","Perennial"
"1731","PF170","Non-woody","Forb","Perennial"
"1732","CRAF",NA,NA,NA
"1733","ARTRT",NA,NA,NA
"1734","ARTR2",NA,NA,NA
"1735","ABME",NA,NA,NA
"1736","ASAM5",NA,NA,NA
"1737","KOMA",NA,NA,NA
"1738","HOJU",NA,NA,NA
"1739","CORA2",NA,NA,NA
"1740","ERBO",NA,NA,NA
"1741","THIN6",NA,NA,NA
"1742","NIAT",NA,NA,NA
"1743","CAMI12",NA,NA,NA
"1744","DICA14","Non-Woody","Forb/Herb","Perennial"
"1745","PEOR6",NA,NA,NA
"1746","RUOC2",NA,NA,NA
"1747","ARCA2",NA,NA,NA
"1748","PELA7",NA,NA,NA
"1749","PF1033",NA,NA,NA
"1750","ARSPS2",NA,NA,NA
"1751","CAGE2",NA,NA,NA
"1752","CRIN9",NA,NA,NA
"1753","ATCA2",NA,NA,NA
"1754","ERWI",NA,NA,NA
"1755","PF1035",NA,NA,NA
"1756","PLSP7",NA,NA,NA
"1757","HECOC8",NA,NA,NA
"1758","SAAE",NA,NA,NA
"1759","ERCR10",NA,NA,NA
"1760","PF1036",NA,NA,NA
"1761","CHMI2","Woody","Shrub","Perennial"
"1762","ERFO2",NA,NA,NA
"1763","PF 1037",NA,NA,NA
"1764","MAMO2","Non-Woody","Forb/Herb","Perennial"
"1765","SOCAS",NA,NA,NA
"1766","LUCAC3",NA,NA,NA
"1767","SAVE4",NA,NA,NA
"1768","ZIVEV",NA,NA,NA
"1769","SAKA",NA,NA,NA
"1770","ARARA",NA,NA,NA
"1771","LUCA3",NA,NA,NA
"1772","SUMO",NA,NA,NA
"1773","POCU3",NA,NA,NA
"1774","LETR5",NA,NA,NA
"1775","ATCO",NA,NA,NA
"1776","POFR",NA,NA,NA
"1777","NACA6",NA,NA,NA
"1778","CAAPP4",NA,NA,NA
"1779","LULE3",NA,NA,NA
"1780","GICA5",NA,NA,NA
"1781","PF172",NA,NA,NA
"1782","PF173",NA,NA,NA
"1783","THMI5",NA,NA,NA
"1784","VEDU",NA,NA,NA
"1785","TACA8",NA,NA,NA
"1786","JULO",NA,NA,NA
"1787","COPA5",NA,NA,NA
"1788","ALRO",NA,NA,NA
"1789","LOTE2","Non-Woody","Graminoid","Annual"
"1790","ASIN5",NA,NA,NA
"1791","ACMIA",NA,NA,NA
"1792","MINAN2",NA,NA,NA
"1793","CORA3",NA,NA,NA
"1794","ARDI",NA,NA,NA
"1795","SCANM",NA,NA,NA
"1796","PRVIM","Woody","Tree","Perennial"
"1797","PODO1",NA,NA,NA
"1798","PENSTEMON",NA,NA,NA
"1799","CRUCI2",NA,NA,NA
"1800","DIPI",NA,NA,NA
"1801","ALBR",NA,NA,NA
"1802","PIPOP","Woody","Tree","Perennial"
"1803","GAPA5",NA,NA,NA
"1804","GIBR",NA,NA,NA
"1805","ZIEL2",NA,NA,NA
"1806","HESPE11",NA,NA,NA
"1807","HOMU","Non-Woody","Graminoid","Annual"
"1808","ZIGAD",NA,NA,NA
"1809","CAMAM9",NA,NA,NA
"1810","CRBAB",NA,NA,NA
"1811","BALSAMORHIZA",NA,NA,NA
"1812","ERAS2",NA,NA,NA
"1813","EROC5",NA,NA,NA
"1814","IPCOC3",NA,NA,NA
"1815","CHEDO",NA,NA,NA
"1816","CHENO",NA,NA,NA
"1817","COLT2",NA,NA,NA
"1818","ERHEZ",NA,NA,NA
"1819","PF1015",NA,NA,NA
"1820","POPR",NA,NA,NA
"1821","PF1017",NA,NA,NA
"1822","CEPI",NA,NA,NA
"1823","PF145","Non-woody","Forb","Perennial"
"1824","DEIN2",NA,NA,NA
"1825","PEWI",NA,NA,NA
"1826","PF83","Non-woody","Forb","Perennial"
"1827","LULA4",NA,NA,NA
"1828","CHWH","Non-Woody","Forb/Herb","Perennial"
"1829","ERCI","Non-Woody","Graminoid","Annual"
"1830","THFL3",NA,NA,NA
"1831","WYMO",NA,NA,NA
"1832","THLA",NA,NA,NA
"1833","ARCA13",NA,NA,NA
"1834","GAOR",NA,NA,NA
"1835","PHAU3",NA,NA,NA
"1836","ERSI3",NA,NA,NA
"1837","PHMI7",NA,NA,NA
"1838","PHHU",NA,NA,NA
"1839","ASBE3",NA,NA,NA
"1840","EPGL",NA,NA,NA
